ID,description
EA,Each
PC,Piece
KG,Kilogram
G,Gram
MG,Milligram
L,Liter
ML,Milliliter
M,Meter
CM,Centimeter
MM,Millimeter
KM,Kilometer
BX,Box
PK,Pack
CT,Carton
PL,Pallet
DZ,Dozen
ST,Set
PR,Pair
RL,Roll
SH,Sheet
BG,Bag
BT,Bottle
CN,Can
JR,Jar
TB,Tube
DR,Drum
CS,Case
TN,Tonne
LB,Pound
OZ,Ounce
GA,Gallon
QT,Quart
PT,Pint
FT,Foot
IN,Inch
YD,Yard
MI,Mile
H,Hour
MN,Minute
SC,Second
DY,Day
WK,Week
MO,Month
YR,Year
M2,Square Meter
M3,Cubic Meter
KW,Kilowatt
WH,Watt Hour
VL,Vial
UN,Unit
